food_code,main_food_description,wweia_category_description,energy_(kcal),protein_(g),carbohydrate_(g),"sugars,_total_(g)","fiber,_total_dietary_(g)",total_fat_(g),"fatty_acids,_total_saturated_(g)","fatty_acids,_total_monounsaturated_(g)","fatty_acids,_total_polyunsaturated_(g)",cholesterol_(mg)
24143220,"Chicken drumstick, stewed, skin not eaten","Chicken, whole pieces",148,23.71,0.0,0.0,0.0,5.9,1.587,2.331,1.23,126
24144300,"Chicken drumstick, sauteed, skin eaten","Chicken, whole pieces",204,22.7,0.0,0.0,0.0,11.85,2.929,4.88,2.787,126
24144301,"Chicken drumstick, sauteed, skin not eaten","Chicken, whole pieces",169,23.57,0.0,0.0,0.0,7.53,1.728,2.961,1.931,126
24147300,"Chicken drumstick, fried, coated, skin / coating eaten, from raw","Chicken, whole pieces",241,19.08,5.98,0.1,0.2,15.07,3.105,6.218,4.355,104
24147301,"Chicken drumstick, fried, coated, skin / coating not eaten, from raw","Chicken, whole pieces",169,23.61,0.0,0.0,0.0,7.54,1.732,2.967,1.934,127
24147302,"Chicken drumstick, fried, coated, prepared skinless, coating eaten, from raw","Chicken, whole pieces",212,19.73,5.96,0.1,0.2,11.6,2.143,4.678,3.665,104
24147310,"Chicken drumstick, fried, coated, skin / coating eaten, from pre-cooked","Chicken, whole pieces",247,18.3,7.15,0.12,0.3,15.66,3.13,6.464,4.654,99
24147311,"Chicken drumstick, fried, coated, skin / coating not eaten, from pre-cooked","Chicken, whole pieces",169,23.57,0.0,0.0,0.0,7.53,1.728,2.961,1.931,126
24147320,"Chicken drumstick, fried, coated, skin / coating eaten, from fast food / restaurant","Chicken, whole pieces",288,17.77,12.14,0.1,0.6,18.76,4.269,7.319,5.521,91
24147321,"Chicken drumstick, fried, coated, skin / coating not eaten, from fast food / restaurant","Chicken, whole pieces",213,21.82,6.12,0.1,0.2,11.21,2.322,4.531,3.352,109
24147400,"Chicken drumstick, baked, coated, skin / coating eaten","Chicken, whole pieces",205,21.04,3.98,0.07,0.2,11.01,2.691,4.5,2.626,116
24147401,"Chicken drumstick, baked, coated, skin / coating not eaten","Chicken, whole pieces",169,23.57,0.0,0.0,0.0,7.53,1.728,2.961,1.931,126
24150210,"Chicken thigh, NS as to cooking method, skin eaten","Chicken, whole pieces",226,22.51,0.12,0.12,0.0,15.08,3.927,6.446,2.038,127
24150220,"Chicken thigh, NS as to cooking method, skin not eaten","Chicken, whole pieces",193,24.09,0.0,0.0,0.0,10.74,2.777,4.727,1.621,128
24152230,"Chicken thigh, baked, broiled, or roasted, skin eaten, from raw","Chicken, whole pieces",231,23.12,0.0,0.0,0.0,14.62,4.086,6.22,2.975,132
24152231,"Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw","Chicken, whole pieces",178,24.61,0.0,0.0,0.0,8.1,2.297,3.341,1.685,132
24152240,"Chicken thigh, baked or broiled, skin eaten, from pre-cooked","Chicken, whole pieces",226,22.51,0.12,0.12,0.0,15.08,3.927,6.446,2.038,127
24152241,"Chicken thigh, baked or broiled, skin not eaten, from pre-cooked","Chicken, whole pieces",193,24.09,0.0,0.0,0.0,10.74,2.777,4.727,1.621,128
24152250,"Chicken thigh, baked or broiled, skin eaten, from fast food / restaurant","Chicken, whole pieces",243,22.57,0.0,0.0,0.0,16.25,4.254,6.91,3.665,129
24152251,"Chicken thigh, baked or broiled, skin not eaten, from fast food / restaurant","Chicken, whole pieces",192,24.02,0.0,0.0,0.0,9.89,2.507,4.1,2.405,129
24152300,"Chicken thigh, rotisserie, skin eaten","Chicken, whole pieces",226,22.51,0.12,0.12,0.0,15.08,3.927,6.446,2.038,127
24152301,"Chicken thigh, rotisserie, skin not eaten","Chicken, whole pieces",193,24.09,0.0,0.0,0.0,10.74,2.777,4.727,1.621,128
24153210,"Chicken thigh, stewed, skin eaten","Chicken, whole pieces",227,22.39,0.0,0.0,0.0,15.31,4.219,6.437,2.939,138
24153220,"Chicken thigh, stewed, skin not eaten","Chicken, whole pieces",175,24.36,0.0,0.0,0.0,8.56,2.327,3.422,1.544,140
